year,persistent_pollution_bau,persistent_pollution_ai,pct_change_pollution,ai_output_usd,ai_pollution_generation
1900,25000000,25000000,0.00,0,0.00
1900.5,25140000,25140000,0.00,0,0.00
1901,25291958,25291958,0.00,0,0.00
1901.5,25455901,25455901,0.00,0,0.00
1902,25631865,25631865,0.00,0,0.00
1902.5,25819890,25819890,0.00,0,0.00
1903,26020025,26020025,0.00,0,0.00
1903.5,26232322,26232322,0.00,0,0.00
1904,26456844,26456844,0.00,0,0.00
1904.5,26693656,26693656,0.00,0,0.00
1905,26942834,26942834,0.00,0,0.00
1905.5,27204457,27204457,0.00,0,0.00
1906,27478612,27478612,0.00,0,0.00
1906.5,27765391,27765391,0.00,0,0.00
1907,28064896,28064896,0.00,0,0.00
1907.5,28377231,28377231,0.00,0,0.00
1908,28702510,28702510,0.00,0,0.00
1908.5,29040852,29040852,0.00,0,0.00
1909,29392383,29392383,0.00,0,0.00
1909.5,29757236,29757236,0.00,0,0.00
1910,30135549,30135549,0.00,0,0.00
1910.5,30527468,30527468,0.00,0,0.00
1911,30933146,30933146,0.00,0,0.00
1911.5,31352742,31352742,0.00,0,0.00
1912,31786422,31786422,0.00,0,0.00
1912.5,32234360,32234360,0.00,0,0.00
1913,32696734,32696734,0.00,0,0.00
1913.5,33173731,33173731,0.00,0,0.00
1914,33665546,33665546,0.00,0,0.00
1914.5,34172379,34172379,0.00,0,0.00
1915,34694439,34694439,0.00,0,0.00
1915.5,35231940,35231940,0.00,0,0.00
1916,35785105,35785105,0.00,0,0.00
1916.5,36354164,36354164,0.00,0,0.00
1917,36939354,36939354,0.00,0,0.00
1917.5,37540921,37540921,0.00,0,0.00
1918,38159116,38159116,0.00,0,0.00
1918.5,38794201,38794201,0.00,0,0.00
1919,39446443,39446443,0.00,0,0.00
1919.5,40116119,40116119,0.00,0,0.00
1920,40803512,40803512,0.00,0,0.00
1920.5,41508916,41508916,0.00,0,0.00
1921,42232630,42232630,0.00,0,0.00
1921.5,42974964,42974964,0.00,0,0.00
1922,43736235,43736235,0.00,0,0.00
1922.5,44516769,44516769,0.00,0,0.00
