year,population,industrial_output_per_capita,food_per_capita,resources,pollution,ecological_footprint
1900,1600000000,15.83,214.9,1000000000000,25000000,0.61
1900.5,1617878987,15.99,213.5,999762803822,25140000,0.61
1901,1635889625,16.15,212.2,999521300481,25291958,0.61
1901.5,1654032351,16.31,211.0,999275414836,25455901,0.61
1902,1672307604,16.47,209.7,999025070474,25631865,0.61
1902.5,1690715824,16.64,208.4,998770189684,25819890,0.61
1903,1709257452,16.81,207.2,998510693436,26020025,0.61
1903.5,1727932931,16.98,206.0,998246501363,26232322,0.61
1904,1746742702,17.15,204.8,997977531734,26456844,0.61
1904.5,1765687209,17.32,203.7,997703701435,26693656,0.61
1905,1784766896,17.50,202.5,997424925942,26942834,0.61
1905.5,1803982208,17.68,201.4,997141119302,27204457,0.61
1906,1823333589,17.86,200.3,996852194105,27478612,0.61
1906.5,1842821486,18.05,199.2,996558061463,27765391,0.61
1907,1862446344,18.24,198.1,996258630984,28064896,0.61
1907.5,1882208608,18.43,197.1,995953810747,28377231,0.61
1908,1902108726,18.62,196.0,995643507276,28702510,0.61
1908.5,1922147144,18.82,195.0,995327625516,29040852,0.61
1909,1942324307,19.02,194.0,995006068805,29392383,0.61
1909.5,1962640661,19.22,193.0,994678738848,29757236,0.61
1910,1983096652,19.42,192.0,994345535690,30135549,0.61
1910.5,2003692725,19.63,191.0,994006357690,30527468,0.61
1911,2024429325,19.84,190.1,993661101487,30933146,0.61
1911.5,2045306894,20.05,189.2,993309661982,31352742,0.61
1912,2066325877,20.27,188.2,992951932297,31786422,0.61
1912.5,2087486714,20.49,187.3,992587803757,32234360,0.61
1913,2108789848,20.71,186.5,992217165852,32696734,0.61
1913.5,2130235716,20.94,185.6,991839906211,33173731,0.61
1914,2151824758,21.16,184.7,991455910567,33665546,0.61
1914.5,2173557410,21.40,183.9,991065062733,34172379,0.61
1915,2195434106,21.63,183.0,990667244564,34694439,0.61
1915.5,2217455279,21.87,182.2,990262335924,35231940,0.62
1916,2239621360,22.11,181.4,989850214660,35785105,0.62
1916.5,2261932776,22.36,180.6,989430756562,36354164,0.62
1917,2284389955,22.61,179.8,989003835332,36939354,0.62
1917.5,2306993318,22.86,179.1,988569322549,37540921,0.62
1918,2329743286,23.11,178.3,988127087634,38159116,0.62
1918.5,2352640275,23.37,177.5,987676997817,38794201,0.62
1919,2375684701,23.64,176.8,987218918096,39446443,0.62
1919.5,2398876973,23.90,176.1,986752711204,40116119,0.62
1920,2422217497,24.17,175.4,986278237572,40803512,0.62
1920.5,2445706677,24.45,174.7,985795355288,41508916,0.62
1921,2469344910,24.73,174.0,985303920063,42232630,0.62
1921.5,2493132590,25.01,173.3,984803785188,42974964,0.62
1922,2517070106,25.30,172.6,984294801498,43736235,0.62
1922.5,2541157843,25.59,172.0,983776817327,44516769,0.62
1923,2565396180,25.88,171.3,983249678472,45316901,0.62
1923.5,2589785490,26.18,170.7,982713228151,46136976,0.62
1924,2614326140,26.48,170.1,982167306956,46977345,0.62
1924.5,2639018493,26.79,169.5,981611752816,47838372,0.62
1925,2663862904,27.10,168.9,981046400951,48720427,0.62
1925.5,2688859722,27.42,168.3,980471083826,49623892,0.62
1926,2714009287,27.74,167.7,979885631109,50549156,0.62
1926.5,2739311936,28.07,167.1,979289869627,51496622,0.62
1927,2764767994,28.40,166.5,978683623314,52466697,0.62
1927.5,2790377780,28.73,166.0,978066713169,53459805,0.63
1928,2816141607,29.07,165.4,977438957206,54476375,0.63
1928.5,2842059774,29.41,164.9,976800170406,55516848,0.63
1929,2868132577,29.76,164.3,976150164669,56581677,0.63
1929.5,2894360298,30.12,163.8,975488748763,57671325,0.63
1930,2920743211,30.48,163.3,974815728272,58786266,0.63
1930.5,2947281582,30.84,162.8,974130905548,59926985,0.63
1931,2973975664,31.21,162.3,973434079655,61093979,0.63
1931.5,3000825698,31.59,161.8,972725046318,62287757,0.63
1932,3027831918,31.97,161.3,972003597869,63508839,0.63
1932.5,3054994542,32.36,160.9,971269523191,64757758,0.63
1933,3082313779,32.75,160.4,970522607666,66035058,0.63
1933.5,3109789824,33.15,160.0,969762633114,67341298,0.63
1934,3137422858,33.55,159.5,968989377737,68677047,0.63
1934.5,3165213050,33.96,159.1,968202616065,70042890,0.63
1935,3193160555,34.37,158.6,967402118891,71439423,0.63
1935.5,3221265513,34.80,158.2,966587653215,72867257,0.64
1936,3249528049,35.22,157.8,965758982182,74327015,0.64
1936.5,3277948273,35.66,157.4,964915865022,75819337,0.64
