year,population,industrial_output_per_capita,food_per_capita,resources,pollution,ecological_footprint
1900,1600000000,15.83,214.9,1000000000000,25000000,0.61
1900.5,1617878987,15.69,211.5,999762803822,25140000,0.61
1901,1635808013,15.55,208.3,999524454747,25282331,0.61
1901.5,1653785302,15.42,205.1,999284953750,25426861,0.61
1902,1671809097,15.29,202.1,999044301829,25573462,0.61
1902.5,1689877660,15.15,199.0,998802500008,25722012,0.61
1903,1707989271,15.03,196.1,998559549333,25872392,0.61
1903.5,1726142232,14.90,193.2,998315450874,26024492,0.61
1904,1744334864,14.78,190.4,998070205718,26178200,0.61
1904.5,1762565511,14.66,187.7,997823814973,26333414,0.61
1905,1780832535,14.54,185.0,997576279765,26490033,0.61
1905.5,1799134324,14.42,182.4,997327601236,26647961,0.61
1906,1817469285,14.31,179.8,997077780541,26807106,0.61
1906.5,1835835849,14.19,177.3,996826818854,26967380,0.61
1907,1854232469,14.08,174.9,996574717358,27128697,0.61
1907.5,1872657622,13.97,172.5,996321477250,27290976,0.61
1908,1891109808,13.87,170.1,996067099736,27454139,0.61
1908.5,1909587550,13.76,167.9,995811586033,27618113,0.61
1909,1928089394,13.66,165.6,995554937368,27782824,0.61
1909.5,1946613911,13.56,163.4,995297154972,27948205,0.61
1910,1965159695,13.46,161.3,995038240086,28114190,0.61
1910.5,1983725364,13.36,159.2,994778193956,28280716,0.61
1911,2002309559,13.27,157.2,994517017832,28447723,0.61
1911.5,2020910948,13.18,155.2,994254712969,28615155,0.61
1912,2039528218,13.08,153.2,993991280625,28782955,0.61
1912.5,2058160084,12.99,151.3,993726722060,28951072,0.61
1913,2076805283,12.90,149.4,993461038536,29119455,0.61
1913.5,2095462575,12.82,147.6,993194231315,29288057,0.61
1914,2114130745,12.73,145.8,992926301660,29456833,0.61
1914.5,2132808600,12.65,144.1,992657250832,29625739,0.61
1915,2151494972,12.56,142.3,992387080092,29794733,0.61
1915.5,2170188715,12.48,140.7,992115790698,29963776,0.61
1916,2188888707,12.40,139.0,991843383905,30132830,0.61
1916.5,2207593846,12.33,137.4,991569860966,30301861,0.61
1917,2226303057,12.25,135.8,991295223129,30470834,0.61
